iid,id,gender,pid,match,age,field,race,from,income,goal,date,career,exphappy,expnum,satis_2,from_upper
3,3,0,19,0,25,Economics,2,connecticut,,6,3,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,4,2,,connecticut
3,3,0,20,0,25,Economics,2,connecticut,,6,3,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,4,2,,connecticut
4,4,0,11,0,23,Law,2,texas,37754,1,5,lawyer,1,2,4,texas
4,4,0,12,0,23,Law,2,texas,37754,1,5,lawyer,1,2,4,texas
4,4,0,13,0,23,Law,2,texas,37754,1,5,lawyer,1,2,4,texas
4,4,0,14,1,23,Law,2,texas,37754,1,5,lawyer,1,2,4,texas
4,4,0,15,0,23,Law,2,texas,37754,1,5,lawyer,1,2,4,texas
4,4,0,16,0,23,Law,2,texas,37754,1,5,lawyer,1,2,4,texas
4,4,0,17,0,23,Law,2,texas,37754,1,5,lawyer,1,2,4,texas
4,4,0,18,0,23,Law,2,texas,37754,1,5,lawyer,1,2,4,texas
4,4,0,19,1,23,Law,2,texas,37754,1,5,lawyer,1,2,4,texas
4,4,0,20,0,23,Law,2,texas,37754,1,5,lawyer,1,2,4,texas
5,5,0,11,0,21,Law,2,NA,86340,2,4,lawyer,7,10,7,bowdoin college
5,5,0,12,0,21,Law,2,NA,86340,2,4,lawyer,7,10,7,bowdoin college
5,5,0,13,0,21,Law,2,NA,86340,2,4,lawyer,7,10,7,bowdoin college
5,5,0,14,1,21,Law,2,NA,86340,2,4,lawyer,7,10,7,bowdoin college
5,5,0,15,0,21,Law,2,NA,86340,2,4,lawyer,7,10,7,bowdoin college
5,5,0,16,0,21,Law,2,NA,86340,2,4,lawyer,7,10,7,bowdoin college
5,5,0,17,0,21,Law,2,NA,86340,2,4,lawyer,7,10,7,bowdoin college
5,5,0,18,0,21,Law,2,NA,86340,2,4,lawyer,7,10,7,bowdoin college
5,5,0,19,1,21,Law,2,NA,86340,2,4,lawyer,7,10,7,bowdoin college
5,5,0,20,0,21,Law,2,NA,86340,2,4,lawyer,7,10,7,bowdoin college
6,6,0,11,0,23,law,4,maryland,60304,1,3,lawyer,4,3,3,maryland 
6,6,0,12,0,23,law,4,maryland,60304,1,3,lawyer,4,3,3,maryland 
6,6,0,13,0,23,law,4,maryland,60304,1,3,lawyer,4,3,3,maryland 
6,6,0,14,1,23,law,4,maryland,60304,1,3,lawyer,4,3,3,maryland 
6,6,0,15,0,23,law,4,maryland,60304,1,3,lawyer,4,3,3,maryland 
6,6,0,16,0,23,law,4,maryland,60304,1,3,lawyer,4,3,3,maryland 
6,6,0,17,0,23,law,4,maryland,60304,1,3,lawyer,4,3,3,maryland 
6,6,0,18,0,23,law,4,maryland,60304,1,3,lawyer,4,3,3,maryland 
6,6,0,19,1,23,law,4,maryland,60304,1,3,lawyer,4,3,3,maryland 
6,6,0,20,0,23,law,4,maryland,60304,1,3,lawyer,4,3,3,maryland 
7,7,0,11,0,22,Law,4,california,54620,1,5,lawyer,7,3,,california
7,7,0,12,0,22,Law,4,california,54620,1,5,lawyer,7,3,,california
7,7,0,13,0,22,Law,4,california,54620,1,5,lawyer,7,3,,california
7,7,0,14,1,22,Law,4,california,54620,1,5,lawyer,7,3,,california
7,7,0,15,0,22,Law,4,california,54620,1,5,lawyer,7,3,,california
7,7,0,16,0,22,Law,4,california,54620,1,5,lawyer,7,3,,california
7,7,0,17,0,22,Law,4,california,54620,1,5,lawyer,7,3,,california
7,7,0,18,0,22,Law,4,california,54620,1,5,lawyer,7,3,,california
7,7,0,19,1,22,Law,4,california,54620,1,5,lawyer,7,3,,california
7,7,0,20,0,22,Law,4,california,54620,1,5,lawyer,7,3,,california
8,8,0,11,0,25,Masters in Public Administration,2,NA,,1,5,journalist,6,10,,"london, england"
8,8,0,12,1,25,Masters in Public Administration,2,NA,,1,5,journalist,6,10,,"london, england"
8,8,0,13,1,25,Masters in Public Administration,2,NA,,1,5,journalist,6,10,,"london, england"
8,8,0,14,1,25,Masters in Public Administration,2,NA,,1,5,journalist,6,10,,"london, england"
8,8,0,15,1,25,Masters in Public Administration,2,NA,,1,5,journalist,6,10,,"london, england"
8,8,0,16,1,25,Masters in Public Administration,2,NA,,1,5,journalist,6,10,,"london, england"
8,8,0,17,0,25,Masters in Public Administration,2,NA,,1,5,journalist,6,10,,"london, england"
8,8,0,18,1,25,Masters in Public Administration,2,NA,,1,5,journalist,6,10,,"london, england"
8,8,0,19,1,25,Masters in Public Administration,2,NA,,1,5,journalist,6,10,,"london, england"
8,8,0,20,1,25,Masters in Public Administration,2,NA,,1,5,journalist,6,10,,"london, england"
9,9,0,11,0,26,Masters in Public Administration,6,california,,1,4,Creative Arts/Entertainment,6,15,6,california
9,9,0,12,1,26,Masters in Public Administration,6,california,,1,4,Creative Arts/Entertainment,6,15,6,california
9,9,0,13,1,26,Masters in Public Administration,6,california,,1,4,Creative Arts/Entertainment,6,15,6,california
9,9,0,14,1,26,Masters in Public Administration,6,california,,1,4,Creative Arts/Entertainment,6,15,6,california
9,9,0,15,1,26,Masters in Public Administration,6,california,,1,4,Creative Arts/Entertainment,6,15,6,california
9,9,0,16,1,26,Masters in Public Administration,6,california,,1,4,Creative Arts/Entertainment,6,15,6,california
9,9,0,17,1,26,Masters in Public Administration,6,california,,1,4,Creative Arts/Entertainment,6,15,6,california
9,9,0,18,0,26,Masters in Public Administration,6,california,,1,4,Creative Arts/Entertainment,6,15,6,california
9,9,0,19,1,26,Masters in Public Administration,6,california,,1,4,Creative Arts/Entertainment,6,15,6,california
9,9,0,20,0,26,Masters in Public Administration,6,california,,1,4,Creative Arts/Entertainment,6,15,6,california
10,10,0,11,0,26,Masters of Social Work&Education,2,california,48652,2,6,to create early childhood intervention programs,7,10,2,california
10,10,0,12,0,26,Masters of Social Work&Education,2,california,48652,2,6,to create early childhood intervention programs,7,10,2,california
10,10,0,13,1,26,Masters of Social Work&Education,2,california,48652,2,6,to create early childhood intervention programs,7,10,2,california
10,10,0,14,0,26,Masters of Social Work&Education,2,california,48652,2,6,to create early childhood intervention programs,7,10,2,california
10,10,0,15,0,26,Masters of Social Work&Education,2,california,48652,2,6,to create early childhood intervention programs,7,10,2,california
10,10,0,16,0,26,Masters of Social Work&Education,2,california,48652,2,6,to create early childhood intervention programs,7,10,2,california
10,10,0,17,0,26,Masters of Social Work&Education,2,california,48652,2,6,to create early childhood intervention programs,7,10,2,california
10,10,0,18,0,26,Masters of Social Work&Education,2,california,48652,2,6,to create early childhood intervention programs,7,10,2,california
10,10,0,19,1,26,Masters of Social Work&Education,2,california,48652,2,6,to create early childhood intervention programs,7,10,2,california
10,10,0,20,0,26,Masters of Social Work&Education,2,california,48652,2,6,to create early childhood intervention programs,7,10,2,california
11,1,1,1,0,27,Finance,2,NA,,1,5,Academic/Research,7,3,7,argentina
11,1,1,2,0,27,Finance,2,NA,,1,5,Academic/Research,7,3,7,argentina
11,1,1,3,0,27,Finance,2,NA,,1,5,Academic/Research,7,3,7,argentina
11,1,1,4,0,27,Finance,2,NA,,1,5,Academic/Research,7,3,7,argentina
11,1,1,5,0,27,Finance,2,NA,,1,5,Academic/Research,7,3,7,argentina
11,1,1,6,0,27,Finance,2,NA,,1,5,Academic/Research,7,3,7,argentina
11,1,1,7,0,27,Finance,2,NA,,1,5,Academic/Research,7,3,7,argentina
11,1,1,8,0,27,Finance,2,NA,,1,5,Academic/Research,7,3,7,argentina
11,1,1,9,0,27,Finance,2,NA,,1,5,Academic/Research,7,3,7,argentina
11,1,1,10,0,27,Finance,2,NA,,1,5,Academic/Research,7,3,7,argentina
12,2,1,1,0,22,Law,2,NA,29237,1,1,lawyer,7,20,,england
12,2,1,2,0,22,Law,2,NA,29237,1,1,lawyer,7,20,,england
12,2,1,3,0,22,Law,2,NA,29237,1,1,lawyer,7,20,,england
12,2,1,4,0,22,Law,2,NA,29237,1,1,lawyer,7,20,,england
12,2,1,5,0,22,Law,2,NA,29237,1,1,lawyer,7,20,,england
12,2,1,6,0,22,Law,2,NA,29237,1,1,lawyer,7,20,,england
12,2,1,7,0,22,Law,2,NA,29237,1,1,lawyer,7,20,,england
12,2,1,8,1,22,Law,2,NA,29237,1,1,lawyer,7,20,,england
12,2,1,9,1,22,Law,2,NA,29237,1,1,lawyer,7,20,,england
12,2,1,10,0,22,Law,2,NA,29237,1,1,lawyer,7,20,,england
13,3,1,1,1,22,Law,4,california,,2,7,lawyer,3,4,10,california
13,3,1,2,0,22,Law,4,california,,2,7,lawyer,3,4,10,california
13,3,1,3,0,22,Law,4,california,,2,7,lawyer,3,4,10,california
13,3,1,4,0,22,Law,4,california,,2,7,lawyer,3,4,10,california
13,3,1,5,0,22,Law,4,california,,2,7,lawyer,3,4,10,california
13,3,1,6,0,22,Law,4,california,,2,7,lawyer,3,4,10,california
13,3,1,7,0,22,Law,4,california,,2,7,lawyer,3,4,10,california
13,3,1,8,1,22,Law,4,california,,2,7,lawyer,3,4,10,california
13,3,1,9,1,22,Law,4,california,,2,7,lawyer,3,4,10,california
13,3,1,10,1,22,Law,4,california,,2,7,lawyer,3,4,10,california
14,4,1,1,1,23,Law,2,ohio,56580,2,4,lawyer,8,15,6,ohio
14,4,1,2,1,23,Law,2,ohio,56580,2,4,lawyer,8,15,6,ohio
14,4,1,3,0,23,Law,2,ohio,56580,2,4,lawyer,8,15,6,ohio
14,4,1,4,1,23,Law,2,ohio,56580,2,4,lawyer,8,15,6,ohio
14,4,1,5,1,23,Law,2,ohio,56580,2,4,lawyer,8,15,6,ohio
14,4,1,6,1,23,Law,2,ohio,56580,2,4,lawyer,8,15,6,ohio
14,4,1,7,1,23,Law,2,ohio,56580,2,4,lawyer,8,15,6,ohio
14,4,1,8,1,23,Law,2,ohio,56580,2,4,lawyer,8,15,6,ohio
14,4,1,9,1,23,Law,2,ohio,56580,2,4,lawyer,8,15,6,ohio
14,4,1,10,0,23,Law,2,ohio,56580,2,4,lawyer,8,15,6,ohio
15,5,1,1,1,24,Law,3,florida,36782,1,4,lawyer,5,9,8,miami
15,5,1,2,0,24,Law,3,florida,36782,1,4,lawyer,5,9,8,miami
15,5,1,3,0,24,Law,3,florida,36782,1,4,lawyer,5,9,8,miami
15,5,1,4,0,24,Law,3,florida,36782,1,4,lawyer,5,9,8,miami
15,5,1,5,0,24,Law,3,florida,36782,1,4,lawyer,5,9,8,miami
15,5,1,6,0,24,Law,3,florida,36782,1,4,lawyer,5,9,8,miami
15,5,1,7,0,24,Law,3,florida,36782,1,4,lawyer,5,9,8,miami
15,5,1,8,1,24,Law,3,florida,36782,1,4,lawyer,5,9,8,miami
15,5,1,9,1,24,Law,3,florida,36782,1,4,lawyer,5,9,8,miami
15,5,1,10,0,24,Law,3,florida,36782,1,4,lawyer,5,9,8,miami
16,6,1,1,0,25,Business,2,NA,,1,5,Academic/Research,7,10,7,milan - italy
16,6,1,2,0,25,Business,2,NA,,1,5,Academic/Research,7,10,7,milan - italy
16,6,1,3,0,25,Business,2,NA,,1,5,Academic/Research,7,10,7,milan - italy
16,6,1,4,0,25,Business,2,NA,,1,5,Academic/Research,7,10,7,milan - italy
16,6,1,5,0,25,Business,2,NA,,1,5,Academic/Research,7,10,7,milan - italy
16,6,1,6,0,25,Business,2,NA,,1,5,Academic/Research,7,10,7,milan - italy
16,6,1,7,0,25,Business,2,NA,,1,5,Academic/Research,7,10,7,milan - italy
16,6,1,8,1,25,Business,2,NA,,1,5,Academic/Research,7,10,7,milan - italy
16,6,1,9,1,25,Business,2,NA,,1,5,Academic/Research,7,10,7,milan - italy
16,6,1,10,0,25,Business,2,NA,,1,5,Academic/Research,7,10,7,milan - italy
17,7,1,1,0,30,political science,2,georgia,38548,3,3,Academic/Research,4,2,5,georgia
17,7,1,2,0,30,political science,2,georgia,38548,3,3,Academic/Research,4,2,5,georgia
17,7,1,3,0,30,political science,2,georgia,38548,3,3,Academic/Research,4,2,5,georgia
17,7,1,4,0,30,political science,2,georgia,38548,3,3,Academic/Research,4,2,5,georgia
17,7,1,5,0,30,political science,2,georgia,38548,3,3,Academic/Research,4,2,5,georgia
17,7,1,6,0,30,political science,2,georgia,38548,3,3,Academic/Research,4,2,5,georgia
17,7,1,7,0,30,political science,2,georgia,38548,3,3,Academic/Research,4,2,5,georgia
17,7,1,8,0,30,political science,2,georgia,38548,3,3,Academic/Research,4,2,5,georgia
17,7,1,9,1,30,political science,2,georgia,38548,3,3,Academic/Research,4,2,5,georgia
17,7,1,10,0,30,political science,2,georgia,38548,3,3,Academic/Research,4,2,5,georgia
18,8,1,1,0,27,Business,2,new york,52010,1,6,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,5,2,5,new york
18,8,1,2,0,27,Business,2,new york,52010,1,6,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,5,2,5,new york
18,8,1,3,0,27,Business,2,new york,52010,1,6,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,5,2,5,new york
18,8,1,4,0,27,Business,2,new york,52010,1,6,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,5,2,5,new york
18,8,1,5,0,27,Business,2,new york,52010,1,6,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,5,2,5,new york
18,8,1,6,0,27,Business,2,new york,52010,1,6,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,5,2,5,new york
18,8,1,7,0,27,Business,2,new york,52010,1,6,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,5,2,5,new york
18,8,1,8,1,27,Business,2,new york,52010,1,6,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,5,2,5,new york
18,8,1,9,0,27,Business,2,new york,52010,1,6,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,5,2,5,new york
18,8,1,10,0,27,Business,2,new york,52010,1,6,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,5,2,5,new york
19,9,1,1,1,28,money,2,california,,4,1,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,10,20,,california
19,9,1,2,1,28,money,2,california,,4,1,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,10,20,,california
19,9,1,3,0,28,money,2,california,,4,1,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,10,20,,california
19,9,1,4,1,28,money,2,california,,4,1,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,10,20,,california
19,9,1,5,1,28,money,2,california,,4,1,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,10,20,,california
19,9,1,6,1,28,money,2,california,,4,1,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,10,20,,california
19,9,1,7,1,28,money,2,california,,4,1,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,10,20,,california
19,9,1,8,1,28,money,2,california,,4,1,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,10,20,,california
19,9,1,9,1,28,money,2,california,,4,1,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,10,20,,california
19,9,1,10,1,28,money,2,california,,4,1,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,10,20,,california
20,10,1,1,0,24,Finance,2,district of columbia,,1,1,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,6,19,,washington dc
20,10,1,2,0,24,Finance,2,district of columbia,,1,1,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,6,19,,washington dc
20,10,1,3,0,24,Finance,2,district of columbia,,1,1,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,6,19,,washington dc
20,10,1,4,0,24,Finance,2,district of columbia,,1,1,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,6,19,,washington dc
20,10,1,5,0,24,Finance,2,district of columbia,,1,1,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,6,19,,washington dc
20,10,1,6,0,24,Finance,2,district of columbia,,1,1,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,6,19,,washington dc
20,10,1,7,0,24,Finance,2,district of columbia,,1,1,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,6,19,,washington dc
20,10,1,8,1,24,Finance,2,district of columbia,,1,1,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,6,19,,washington dc
20,10,1,9,0,24,Finance,2,district of columbia,,1,1,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,6,19,,washington dc
20,10,1,10,0,24,Finance,2,district of columbia,,1,1,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,6,19,,washington dc
21,1,0,40,0,21,Operations Research,4,new jersey,,6,7,Undecided,5,0,6,new jersey
21,1,0,41,0,21,Operations Research,4,new jersey,,6,7,Undecided,5,0,6,new jersey
21,1,0,42,0,21,Operations Research,4,new jersey,,6,7,Undecided,5,0,6,new jersey
21,1,0,43,0,21,Operations Research,4,new jersey,,6,7,Undecided,5,0,6,new jersey
21,1,0,44,0,21,Operations Research,4,new jersey,,6,7,Undecided,5,0,6,new jersey
21,1,0,45,0,21,Operations Research,4,new jersey,,6,7,Undecided,5,0,6,new jersey
21,1,0,46,0,21,Operations Research,4,new jersey,,6,7,Undecided,5,0,6,new jersey
21,1,0,47,0,21,Operations Research,4,new jersey,,6,7,Undecided,5,0,6,new jersey
21,1,0,48,0,21,Operations Research,4,new jersey,,6,7,Undecided,5,0,6,new jersey
21,1,0,49,0,21,Operations Research,4,new jersey,,6,7,Undecided,5,0,6,new jersey
21,1,0,50,0,21,Operations Research,4,new jersey,,6,7,Undecided,5,0,6,new jersey
21,1,0,51,0,21,Operations Research,4,new jersey,,6,7,Undecided,5,0,6,new jersey
21,1,0,52,0,21,Operations Research,4,new jersey,,6,7,Undecided,5,0,6,new jersey
21,1,0,53,0,21,Operations Research,4,new jersey,,6,7,Undecided,5,0,6,new jersey
21,1,0,54,0,21,Operations Research,4,new jersey,,6,7,Undecided,5,0,6,new jersey
21,1,0,55,0,21,Operations Research,4,new jersey,,6,7,Undecided,5,0,6,new jersey
22,2,0,40,0,27,TC (Health Ed),1,michigan,28418,1,6,informatics,4,2,6,michigan
22,2,0,41,0,27,TC (Health Ed),1,michigan,28418,1,6,informatics,4,2,6,michigan
22,2,0,42,0,27,TC (Health Ed),1,michigan,28418,1,6,informatics,4,2,6,michigan
22,2,0,43,0,27,TC (Health Ed),1,michigan,28418,1,6,informatics,4,2,6,michigan
22,2,0,44,1,27,TC (Health Ed),1,michigan,28418,1,6,informatics,4,2,6,michigan
22,2,0,45,1,27,TC (Health Ed),1,michigan,28418,1,6,informatics,4,2,6,michigan
22,2,0,46,0,27,TC (Health Ed),1,michigan,28418,1,6,informatics,4,2,6,michigan
22,2,0,47,0,27,TC (Health Ed),1,michigan,28418,1,6,informatics,4,2,6,michigan
22,2,0,48,0,27,TC (Health Ed),1,michigan,28418,1,6,informatics,4,2,6,michigan
22,2,0,49,0,27,TC (Health Ed),1,michigan,28418,1,6,informatics,4,2,6,michigan
22,2,0,50,0,27,TC (Health Ed),1,michigan,28418,1,6,informatics,4,2,6,michigan
22,2,0,51,0,27,TC (Health Ed),1,michigan,28418,1,6,informatics,4,2,6,michigan
22,2,0,52,0,27,TC (Health Ed),1,michigan,28418,1,6,informatics,4,2,6,michigan
22,2,0,53,0,27,TC (Health Ed),1,michigan,28418,1,6,informatics,4,2,6,michigan
22,2,0,54,0,27,TC (Health Ed),1,michigan,28418,1,6,informatics,4,2,6,michigan
22,2,0,55,0,27,TC (Health Ed),1,michigan,28418,1,6,informatics,4,2,6,michigan
23,3,0,40,0,21,Psychology,4,NA,,1,1,Psychologist,5,3,7,hong kong
23,3,0,41,0,21,Psychology,4,NA,,1,1,Psychologist,5,3,7,hong kong
23,3,0,42,0,21,Psychology,4,NA,,1,1,Psychologist,5,3,7,hong kong
23,3,0,43,1,21,Psychology,4,NA,,1,1,Psychologist,5,3,7,hong kong
23,3,0,44,1,21,Psychology,4,NA,,1,1,Psychologist,5,3,7,hong kong
23,3,0,45,1,21,Psychology,4,NA,,1,1,Psychologist,5,3,7,hong kong
23,3,0,46,0,21,Psychology,4,NA,,1,1,Psychologist,5,3,7,hong kong
23,3,0,47,0,21,Psychology,4,NA,,1,1,Psychologist,5,3,7,hong kong
23,3,0,48,0,21,Psychology,4,NA,,1,1,Psychologist,5,3,7,hong kong
23,3,0,49,0,21,Psychology,4,NA,,1,1,Psychologist,5,3,7,hong kong
23,3,0,50,0,21,Psychology,4,NA,,1,1,Psychologist,5,3,7,hong kong
23,3,0,51,0,21,Psychology,4,NA,,1,1,Psychologist,5,3,7,hong kong
23,3,0,52,0,21,Psychology,4,NA,,1,1,Psychologist,5,3,7,hong kong
23,3,0,53,0,21,Psychology,4,NA,,1,1,Psychologist,5,3,7,hong kong
23,3,0,54,0,21,Psychology,4,NA,,1,1,Psychologist,5,3,7,hong kong
23,3,0,55,0,21,Psychology,4,NA,,1,1,Psychologist,5,3,7,hong kong
24,4,0,40,0,27,social work,2,new york,43185,2,6,Social Work,5,3,3,new york
24,4,0,41,0,27,social work,2,new york,43185,2,6,Social Work,5,3,3,new york
24,4,0,42,0,27,social work,2,new york,43185,2,6,Social Work,5,3,3,new york
24,4,0,43,0,27,social work,2,new york,43185,2,6,Social Work,5,3,3,new york
24,4,0,44,0,27,social work,2,new york,43185,2,6,Social Work,5,3,3,new york
24,4,0,45,0,27,social work,2,new york,43185,2,6,Social Work,5,3,3,new york
24,4,0,46,0,27,social work,2,new york,43185,2,6,Social Work,5,3,3,new york
24,4,0,47,0,27,social work,2,new york,43185,2,6,Social Work,5,3,3,new york
24,4,0,48,0,27,social work,2,new york,43185,2,6,Social Work,5,3,3,new york
24,4,0,49,0,27,social work,2,new york,43185,2,6,Social Work,5,3,3,new york
24,4,0,50,0,27,social work,2,new york,43185,2,6,Social Work,5,3,3,new york
24,4,0,51,0,27,social work,2,new york,43185,2,6,Social Work,5,3,3,new york
24,4,0,52,0,27,social work,2,new york,43185,2,6,Social Work,5,3,3,new york
24,4,0,53,0,27,social work,2,new york,43185,2,6,Social Work,5,3,3,new york
24,4,0,54,0,27,social work,2,new york,43185,2,6,Social Work,5,3,3,new york
24,4,0,55,0,27,social work,2,new york,43185,2,6,Social Work,5,3,3,new york
25,5,0,40,0,25,Social Work,2,iowa,23152,1,5,Social Work,5,4,3,iowa
25,5,0,41,0,25,Social Work,2,iowa,23152,1,5,Social Work,5,4,3,iowa
25,5,0,42,0,25,Social Work,2,iowa,23152,1,5,Social Work,5,4,3,iowa
25,5,0,43,0,25,Social Work,2,iowa,23152,1,5,Social Work,5,4,3,iowa
25,5,0,44,0,25,Social Work,2,iowa,23152,1,5,Social Work,5,4,3,iowa
25,5,0,45,0,25,Social Work,2,iowa,23152,1,5,Social Work,5,4,3,iowa
25,5,0,46,0,25,Social Work,2,iowa,23152,1,5,Social Work,5,4,3,iowa
25,5,0,47,0,25,Social Work,2,iowa,23152,1,5,Social Work,5,4,3,iowa
25,5,0,48,0,25,Social Work,2,iowa,23152,1,5,Social Work,5,4,3,iowa
25,5,0,49,0,25,Social Work,2,iowa,23152,1,5,Social Work,5,4,3,iowa
25,5,0,50,0,25,Social Work,2,iowa,23152,1,5,Social Work,5,4,3,iowa
25,5,0,51,0,25,Social Work,2,iowa,23152,1,5,Social Work,5,4,3,iowa
25,5,0,52,0,25,Social Work,2,iowa,23152,1,5,Social Work,5,4,3,iowa
25,5,0,53,0,25,Social Work,2,iowa,23152,1,5,Social Work,5,4,3,iowa
25,5,0,54,0,25,Social Work,2,iowa,23152,1,5,Social Work,5,4,3,iowa
25,5,0,55,0,25,Social Work,2,iowa,23152,1,5,Social Work,5,4,3,iowa
26,6,0,40,0,23,Social Work,2,california,43664,1,5,Social Work,7,10,,california
26,6,0,41,0,23,Social Work,2,california,43664,1,5,Social Work,7,10,,california
26,6,0,42,0,23,Social Work,2,california,43664,1,5,Social Work,7,10,,california
26,6,0,43,0,23,Social Work,2,california,43664,1,5,Social Work,7,10,,california
26,6,0,44,0,23,Social Work,2,california,43664,1,5,Social Work,7,10,,california
26,6,0,45,0,23,Social Work,2,california,43664,1,5,Social Work,7,10,,california
26,6,0,46,0,23,Social Work,2,california,43664,1,5,Social Work,7,10,,california
26,6,0,47,0,23,Social Work,2,california,43664,1,5,Social Work,7,10,,california
26,6,0,48,0,23,Social Work,2,california,43664,1,5,Social Work,7,10,,california
26,6,0,49,0,23,Social Work,2,california,43664,1,5,Social Work,7,10,,california
